Date,Open,High,Low,Close,Adj Close,Volume
02/01/2020,68.300003,69.059998,68.279999,69.059998,69.059998,856500
03/01/2020,68.5,68.650002,67.959999,68.080002,68.080002,518600
06/01/2020,68.25,69.199997,68.220001,69.110001,69.110001,755500
07/01/2020,70.510002,70.580002,69.809998,70.199997,70.199997,1316200
08/01/2020,70.800003,71.120003,70.370003,70.459999,70.459999,1640200
09/01/2020,71.400002,71.660004,70.589996,71.029999,71.029999,2377300
10/01/2020,71.459999,71.459999,70.739998,70.860001,70.860001,1120500
13/01/2020,71.389999,71.699997,71.080002,71.639999,71.639999,1272300
14/01/2020,72.940002,72.949997,72.010002,72.470001,72.470001,1940800
15/01/2020,71.599998,72.120003,71.449997,71.599998,71.599998,1085900
16/01/2020,72.230003,72.720001,72.199997,72.620003,72.620003,1158900
17/01/2020,72.720001,72.720001,72.160004,72.480003,72.480003,780500
21/01/2020,72.5,72.5,72.110001,72.129997,72.129997,967200
22/01/2020,72.57,72.68,72.169998,72.379997,72.379997,760800
23/01/2020,72.75,72.75,72.019997,72.589996,72.589996,579700
24/01/2020,72.639999,72.68,71.480003,71.879997,71.879997,678300
27/01/2020,71.440002,71.699997,71.150002,71.309998,71.309998,1267300
28/01/2020,71.699997,72.209999,71.349998,72.019997,72.019997,812600
29/01/2020,71.900002,72.019997,71.650002,71.800003,71.800003,613000
30/01/2020,70.629997,71.309998,70.209999,71.139999,71.139999,870900
31/01/2020,70.989998,70.989998,69.910004,70.18,70.18,957400
03/02/2020,70.290001,70.900002,70.25,70.480003,70.480003,1811100
04/02/2020,72.169998,73.860001,71.160004,73,73,1578700
05/02/2020,70.660004,71.059998,70.349998,70.510002,70.510002,1799000
06/02/2020,70.970001,71.550003,70.970001,71.550003,71.550003,662600
07/02/2020,71,71.25,69.709999,70.089996,70.089996,1462400
10/02/2020,70.129997,70.209999,69.629997,70.169998,70.169998,929300
11/02/2020,70.629997,70.849998,70.190002,70.32,70.32,852000
12/02/2020,70.300003,70.790001,70.300003,70.769997,70.769997,587900
13/02/2020,69.919998,69.919998,69.510002,69.599998,69.599998,910300
14/02/2020,69.480003,69.529999,68.459999,68.830002,68.830002,1485200
18/02/2020,66.419998,67.089996,66.099998,66.639999,66.639999,2345700
19/02/2020,66.959999,67.370003,66.870003,67.07,67.07,1234900
20/02/2020,66.910004,67.169998,66.029999,66.739998,66.739998,1326100
21/02/2020,66.949997,67,65.75,65.940002,65.940002,906900
24/02/2020,64,64.580002,63.509998,63.93,63.93,1413800
25/02/2020,65.25,65.5,63.130001,63.580002,63.580002,2226400
26/02/2020,64.360001,64.830002,63.779999,63.939999,63.939999,1553400
27/02/2020,61.91,62.720001,60.880001,60.889999,60.889999,2006000
28/02/2020,59.490002,62.459999,59.349998,62.200001,62.200001,2722600
02/03/2020,63.599998,64.260002,62.310001,64.160004,64.160004,2117900
03/03/2020,63.77,64.510002,62.560001,63.18,63.18,1714500
04/03/2020,63.779999,64.949997,63.57,64.790001,64.790001,1223800
05/03/2020,63.849998,63.990002,62.919998,63.439999,63.439999,1259900
06/03/2020,62.799999,63.240002,62.16,63.119999,63.119999,1165600
09/03/2020,58.189999,60.470001,58,58.529999,58.529999,1374800
10/03/2020,61.09,61.150002,59.060001,60.330002,60.330002,3117300
11/03/2020,58.950001,59.349998,57.439999,57.790001,57.790001,1349800
12/03/2020,54.529999,55.470001,51.5,52.57,52.57,2072100
13/03/2020,56.349998,56.669998,53.290001,56.32,56.32,2012300
16/03/2020,52,53.860001,50.939999,51.68,51.68,1458900
17/03/2020,53.41,55.369999,52.650002,55.200001,55.200001,1702400
18/03/2020,54.779999,58.099998,52.080002,54.790001,54.790001,3626500
19/03/2020,54.860001,56.040001,53.599998,55.400002,55.400002,2382900
20/03/2020,56.48,56.900002,52.82,53.060001,53.060001,1613000
23/03/2020,53.939999,54.400002,51.580002,52.900002,52.900002,1592600
24/03/2020,56.299999,57,55.560001,57,57,2281900
25/03/2020,58.380001,59.330002,56.32,57.68,57.68,1225000
26/03/2020,58.66,60.509998,58,60.5,60.5,1465400
27/03/2020,59.599998,60.599998,58.720001,59.32,59.32,1943400
30/03/2020,59.939999,60.450001,59.139999,60.169998,60.169998,1215200
31/03/2020,59.27,60.5,58.610001,59.18,59.18,1057900
01/04/2020,57.93,58.43,56.650002,56.849998,56.849998,1110900
02/04/2020,58.369999,59.299999,57.91,58.91,58.91,1107900
03/04/2020,58,58.529999,56.77,57.48,57.48,667800
06/04/2020,59.830002,61.23,59.5,60.869999,60.869999,1196800
07/04/2020,62.75,62.900002,60.459999,60.66,60.66,1347100
08/04/2020,61.080002,62.369999,60.720001,62.110001,62.110001,1112600
09/04/2020,62.23,62.450001,61,61.580002,61.580002,1139300
13/04/2020,61,61.080002,59.509998,60.09,60.09,1551700
